,collection,brand,item,price_without_discount,discount,clean_price,maltiply
1334,,PS Paul Smith,pinstriped lemon print shirt dress,398.0,35.0,259.0,0.65
1335,New Season,Dolce & Gabbana,leopard-print dress,1725.0,0.0,1725.0,1.0
1336,,Balmain,short buttoned dress,1955.0,0.0,1955.0,1.0
1337,Conscious,Karl Lagerfeld,poplin belted shirt dress,326.0,30.0,228.0,0.7
1338,,LIU JO,striped T-shirt dress,128.0,20.0,102.0,0.8
1339,,IRO,Nadine draped mini dress,445.0,0.0,445.0,1.0
1340,,Charo Ruiz Ibiza,Violette lace-trim mini dress,530.0,30.0,371.0,0.7
1341,,ROTATE,Monique sheer-sleeve minidress,190.0,40.0,114.0,0.6
1342,,Peter Do,combo pleated shirt dress,1871.0,30.0,1310.0,0.7
1343,,Poupette St Barth,leaf-print ruffled dress,321.0,20.0,257.0,0.8
1344,,Poupette St Barth,floral-print ruffled dress,333.0,20.0,266.0,0.8
1345,,Alexis,Lizaveta sleeveless mini dress,423.0,0.0,423.0,1.0
1346,,Rixo,Zadie Floral Lace Midi Dress,387.0,0.0,387.0,1.0
1347,,Peserico,layered tie-waist midi dress,448.0,40.0,269.0,0.6
1348,,Cynthia Rowley,sequin-embellished shift dress,455.0,0.0,455.0,1.0
1349,,Plan C,colour-blocked sequin sleeveless dress,986.0,30.0,690.0,0.7
1350,,Cynthia Rowley,sequin-embellished shift dress,455.0,0.0,455.0,1.0
1351,,Plan C,colour-blocked sequin sleeveless dress,986.0,30.0,690.0,0.7
1352,,CHOCOOLATE,short-sleeve denim shirt dress,113.0,30.0,79.0,0.7
1353,,Needle & Thread,floral-applique dress,1126.0,30.0,788.0,0.7
1354,,Junya Watanabe,mix-print T-shirt dress,1910.0,50.0,955.0,0.5
1355,,Moncler,logo trim midi dress,547.0,0.0,547.0,1.0
1356,,Maje,pleat-detail crop-sleeve mini dress,220.0,0.0,220.0,1.0
1357,,Diesel,bleach-effect mini dress,259.0,20.0,207.0,0.8
1358,,Love Moschino,lace-appliqué T-shirt dress,138.0,0.0,138.0,1.0
1359,,TWINSET,floral-print tea dress,249.0,35.0,157.0,0.65
1360,,P.A.R.O.S.H.,button detail A-line dress,453.0,25.0,340.0,0.75
1361,,CHOCOOLATE,patch pocket T-shirt dress,71.0,30.0,50.0,0.7
1362,,CHOCOOLATE,patch-detail shirt dress,87.0,30.0,61.0,0.7
1363,,Karl Lagerfeld,contrast-tape shirt dress,442.0,40.0,265.0,0.6
1364,,Versace,Greca-print sleeveless dress,1897.0,25.0,1423.0,0.75
1365,,Dolce & Gabbana,sweetheart-neck fitted dress,1702.0,0.0,1702.0,1.0
1366,,b+ab,raw-edge button-up dress,274.0,50.0,137.0,0.5
1367,,Marchesa Notte Bridesmaids,strapless tulle gown,316.0,0.0,316.0,1.0
1368,Exclusive,Emilio Pucci,x Koché floral-lace long dress,2970.0,40.0,1782.0,0.6
1369,,Dolce & Gabbana,V-neck zipped midi dress,2142.0,0.0,2142.0,1.0
1370,,Vince,slip midi dress,317.0,0.0,317.0,1.0
1371,,RED Valentino,ruffle-trim minidress,526.0,0.0,526.0,1.0
1372,New Season,Balmain,decorative button tweed dress,2064.0,0.0,2064.0,1.0
1373,,Camilla,long angel cape dress,972.0,50.0,486.0,0.5
1374,Conscious,GANNI,tiger-print mini shift dress,315.0,40.0,189.0,0.6
1375,,Alice+Olivia,chain-link shoulder mini dress,476.0,0.0,476.0,1.0
1376,,Emilio Pucci,graphic-print spaghetti-strap dress,1150.0,40.0,690.0,0.6
1377,,Marchesa Notte Bridesmaids,tulle draped bridesmaid gown,348.0,0.0,348.0,1.0
1378,New Season,Cult Gaia,Zariah mini dress,1198.0,0.0,1198.0,1.0
1379,New Season,Diesel,polo collar day dress,172.0,0.0,172.0,1.0
1380,New Season,Reformation,Pacy floral-print minidress,254.0,0.0,254.0,1.0
1381,,Cult Gaia,cutout-detail knitted dress,533.0,40.0,320.0,0.6
1382,,Versace Jeans Couture,Regalia Baroque flared dress,524.0,20.0,419.0,0.8
1383,,Jacquemus,Saudade draped dress,677.0,0.0,677.0,1.0
1384,New Season,SANDRO,floral-print lace trim slip dress,366.0,0.0,366.0,1.0
1385,Conscious,Faithfull the Brand,Palmira mini dress,263.0,0.0,263.0,1.0
1386,,THE ANDAMANE,Hope sheer sleeves mini dress,464.0,0.0,464.0,1.0
1387,,Marchesa Notte Bridesmaids,sequin embellished bridesmaid gown,423.0,0.0,423.0,1.0
1388,,Camilla,graphic print button-front frill dress,731.0,0.0,731.0,1.0
1389,New Season,Tory Burch,floral-print dress,479.0,0.0,479.0,1.0
1390,,Cult Gaia,Alicia knit cold-shoulder dress,416.0,0.0,416.0,1.0
1391,Conscious,GANNI,seersucker checked midi dress,255.0,40.0,153.0,0.6
1392,,Self-Portrait,cut-out ruched midi dress,495.0,15.0,421.0,0.85
1393,,Giuseppe Di Morabito,rhinestone-embellished draped dress,925.0,20.0,740.0,0.8
1394,,Boutique Moschino,square-neck ruffled dress,404.0,0.0,404.0,1.0
1395,Conscious,GANNI,babydoll hemp mini dress,283.0,25.0,212.0,0.75
1396,,TWINSET,embroidered cotton dress,265.0,25.0,199.0,0.75
1397,New Season,Miu Miu,floral-print silk dress,3290.0,0.0,3290.0,1.0
1398,New Season,Miu Miu,crystal-embroidered midi dress,5060.0,0.0,5060.0,1.0
1399,,Chiara Ferragni,Logomania ribbed knit dress,329.0,35.0,214.0,0.65
1400,Conscious,Nanushka,faux long belted dress,776.0,10.0,698.0,0.9
1401,New Season,Asceno,Lyon maxi slip dress,381.0,0.0,381.0,1.0
1402,,STAUD,V-neck fitted dress,225.0,45.0,124.0,0.55
1403,Conscious,ROTATE,Lavine floral print maxi dress,310.0,0.0,310.0,1.0
1404,,Semicouture,off-shoulder cotton dress,245.0,25.0,184.0,0.75
1405,Conscious,Balmain,striped cut-out linen dress,862.0,15.0,733.0,0.85
1406,Conscious,Michael Michael Kors,floral-print midi dress,249.0,25.0,187.0,0.75
1407,,Maje,floral-print square-neck dress,377.0,0.0,377.0,1.0
1408,,ETRO,one-shoulder floral-print midi dress,1535.0,0.0,1535.0,1.0
1409,,MSGM,heart-print ruched dress,645.0,40.0,387.0,0.6
1410,Conscious,GANNI,large Peter Pan collar midi dress,337.0,30.0,236.0,0.7
1411,,Brigitte,abstract-pattern print halterneck dress,313.0,0.0,313.0,1.0
1412,New Season,PINKO,twist detail evening dress,498.0,0.0,498.0,1.0
1413,New Season,Self-Portrait,ruched-detail wrap midi dress,487.0,0.0,487.0,1.0
1414,,Vince,square-neck jersey dress,262.0,40.0,157.0,0.6
1415,,ZIMMERMANN,polka dot sleeveless dress,999.0,0.0,999.0,1.0
1416,,DVF Diane von Furstenberg,printed wrap midi dress,535.0,25.0,401.0,0.75
1417,,P.A.R.O.S.H.,notched-lapels belted shirtdress,552.0,35.0,359.0,0.65
1418,Conscious,Maje,Rython mini dress,287.0,0.0,287.0,1.0
